DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
01;01;80642;40660;978;412;39270;452;1200;0;1989;0;0;10401;0;0;0;0;0;0;0;11962;0;364;1486;11416;0
01;02;90375;45076;829;322;43925;467;1451;0;2265;0;0;9582;0;0;0;0;0;0;0;12740;0;829;2071;14520;0
01;03;74113;31831;703;346;30782;394;1105;0;2267;0;0;7053;0;0;0;0;0;0;0;10172;0;594;1412;7785;0
01;04;87384;43285;1033;494;41758;452;1099;0;1873;0;0;9383;0;0;0;0;0;0;0;12710;0;522;1778;13941;0
01;05;74360;35479;832;449;34198;509;1528;0;1811;0;0;7212;0;0;0;0;0;0;0;9889;0;340;1437;11472;0
02;01;72089;39735;817;545;38373;758;1535;0;1725;0;0;6091;0;0;0;0;0;0;0;10321;0;478;1288;16177;0
02;02;73587;43830;754;649;42427;497;1493;0;1141;0;0;5372;0;0;0;0;0;0;0;16013;0;322;868;16721;0
02;03;68464;38529;961;766;36802;654;1188;0;978;0;0;5144;0;0;0;0;0;0;0;10409;0;312;933;17184;0
02;04;79046;41408;746;529;40133;713;2161;0;1438;0;0;5735;0;0;0;0;0;0;0;10797;0;418;1144;17727;0
02;05;81594;44292;1048;702;42542;767;1708;0;2599;0;0;5315;0;0;0;0;0;0;0;10571;0;668;1494;19420;0
03;01;90040;45410;1537;1032;42841;750;4575;0;1884;0;0;9865;0;0;0;0;0;0;0;13523;0;328;1529;10387;0
03;02;85122;41885;1265;1137;39483;816;4695;0;1640;0;0;8630;0;0;0;0;0;0;0;12992;0;370;1242;9098;0
03;03;78541;39649;1254;847;37548;595;2607;0;1655;0;0;7773;0;0;0;0;0;0;0;13128;0;425;1307;10058;0
04;01;60990;34729;794;598;33337;551;0;0;2460;0;0;9566;220;0;0;1207;0;0;0;6104;0;0;847;12167;215
04;02;64788;36879;699;531;35649;484;0;0;2667;0;0;10901;234;0;0;1160;0;0;0;7054;0;0;970;11916;263
05;01;57323;32351;844;551;30956;494;0;0;2705;0;0;7387;197;0;0;1339;0;0;0;7094;0;0;892;10542;306
05;02;51597;29382;825;431;28126;440;0;0;2864;0;0;6210;302;0;0;1278;0;0;0;7406;0;0;711;8708;207
06;01;83510;42765;501;466;41798;335;0;0;2004;0;0;5749;227;0;0;1231;0;0;0;17728;0;0;825;13564;135
06;02;84647;46298;875;405;45018;528;0;0;2416;0;0;5914;223;0;0;2144;0;0;0;14613;0;0;1119;17827;234
06;03;89583;47267;542;499;46226;394;0;0;2219;0;0;6308;314;0;0;1315;0;0;0;18451;0;0;852;16232;141
06;04;86450;45606;743;630;44233;499;0;0;2823;0;0;4474;160;0;0;1624;0;0;0;14113;0;0;999;19359;182
06;05;88084;49228;516;618;48094;348;0;0;1795;0;0;5350;166;0;0;1386;0;0;0;20215;0;0;767;17946;121
06;06;77812;41281;839;227;40215;463;0;0;1283;0;0;4139;193;0;0;1632;0;0;0;15139;0;0;880;16303;183
06;07;91534;48204;905;277;47022;485;0;0;1947;0;0;6338;334;0;0;2140;0;0;0;18049;0;0;1180;16266;283
06;08;81682;40897;643;353;39901;386;0;0;1073;0;0;3989;150;0;0;1380;0;0;0;16117;0;0;882;15724;200
06;09;78273;41114;697;300;40117;443;0;0;1401;0;0;5220;165;0;0;1710;0;0;0;14410;0;0;966;15581;221
07;01;77817;40052;1065;594;38393;543;2631;0;2525;0;0;10946;0;0;0;0;0;0;0;9345;0;381;1177;10845;0
07;02;92482;49005;1196;551;47258;617;2126;0;3002;0;0;11609;0;0;0;0;0;0;0;15815;0;576;1665;11848;0
07;03;77504;41575;1064;606;39905;537;2611;0;3248;0;0;10345;0;0;0;0;0;0;0;11999;0;282;1228;9655;0
08;01;72943;35330;950;611;33769;697;0;1220;0;1709;0;5252;0;0;0;0;289;0;0;9107;0;0;2037;13458;0
08;02;64132;27971;705;533;26733;649;0;1429;0;1192;0;4969;0;0;0;0;238;0;0;6153;0;0;1558;10545;0
08;03;57932;28195;667;612;26916;495;0;805;0;1096;0;3555;0;0;0;0;188;0;0;9980;0;0;1110;9687;0
09;01;56711;30255;1024;703;28528;784;0;0;4188;0;0;9407;863;488;0;0;0;0;0;3631;0;0;1107;7801;259
09;02;59978;31804;1079;779;29946;665;0;0;3579;0;0;8895;800;510;0;0;0;0;0;5198;0;0;1231;8828;240
10;01;64382;32733;889;773;31071;477;0;1033;0;1466;0;3722;0;0;0;0;293;0;0;7774;0;0;2904;13402;0
10;02;73504;37004;889;756;35359;523;0;1347;0;2133;0;5149;0;0;0;0;347;0;0;8716;0;0;3145;13999;0
10;03;66008;31126;633;640;29853;500;0;1592;0;1660;0;4682;0;0;0;0;295;0;0;7239;0;0;2370;11515;0
11;01;93838;51963;1641;1266;49056;943;0;0;4461;0;0;13216;2297;648;0;0;0;0;0;6459;0;0;1990;18683;359
11;02;86851;45214;1317;1033;42864;830;0;0;3430;0;0;9859;2240;495;0;0;0;0;0;6931;0;0;1697;17039;343
11;03;88069;50556;1679;1249;47628;960;0;0;4855;0;0;13197;2119;665;0;0;0;0;0;7274;0;0;2145;15997;416
12;01;76249;41671;1531;900;39240;565;0;0;3573;0;0;9113;1513;565;0;0;0;0;0;13606;0;0;1813;8213;279
12;02;70394;37985;1358;1073;35554;638;0;0;3835;0;0;10943;1113;468;0;0;0;0;0;9512;0;0;1493;7273;279
12;03;72011;38777;1372;978;36427;622;0;0;3806;0;0;8301;1969;507;0;0;0;0;0;10834;0;0;1429;8695;264
13;01;76906;36428;678;337;35413;548;0;0;2293;0;0;5955;217;0;0;1201;0;0;0;8737;0;0;846;15368;248
13;02;77925;41142;662;244;40236;462;0;0;2912;0;0;7565;305;0;0;1521;0;0;0;14074;0;0;889;12270;238
13;03;72415;32164;706;291;31167;655;0;0;2289;0;0;5736;210;0;0;1145;0;0;0;6329;0;0;682;13926;195
13;04;58778;24096;444;214;23438;683;0;0;4026;0;0;6949;347;0;0;1235;0;0;0;3992;0;0;580;5466;160
13;05;68076;33710;599;282;32829;557;0;0;3563;0;0;7406;293;0;0;1328;0;0;0;8916;0;0;686;9899;181
13;06;74350;35718;673;259;34786;553;0;0;2545;0;0;6053;224;0;0;1254;0;0;0;9614;0;0;933;13398;212
13;07;64878;22831;549;314;21968;727;0;0;2788;0;0;5399;201;0;0;897;0;0;0;2774;0;0;522;8482;178
13;08;97917;51466;1147;670;49649;820;0;0;2946;0;0;8964;272;0;0;2121;0;0;0;11302;0;0;1548;21210;466
13;09;96195;48502;1036;596;46870;775;0;0;4507;0;0;6737;254;0;0;2112;0;0;0;12169;0;0;1356;18605;355
13;10;104063;55117;1182;605;53330;868;0;0;4722;0;0;9173;365;0;0;2202;0;0;0;11008;0;0;1438;23181;373
13;11;87494;43640;763;397;42480;560;0;0;3446;0;0;8532;334;0;0;1783;0;0;0;10998;0;0;1241;15261;325
13;12;90689;44951;1129;374;43448;708;0;0;3220;0;0;6397;186;0;0;1611;0;0;0;7934;0;0;1211;21843;338
13;13;92514;48210;1376;881;45953;1434;0;0;7802;0;0;7180;247;0;0;2159;0;0;0;6012;0;0;1104;19711;304
13;14;95242;50100;907;491;48702;700;0;0;3674;0;0;11238;440;0;0;2310;0;0;0;13009;0;0;1626;15285;420
13;15;103082;57014;1277;803;54934;822;0;0;3062;0;0;8774;339;0;0;2353;0;0;0;12637;0;0;1688;24665;594
13;16;90055;47822;995;805;46022;947;0;0;3144;0;0;9286;307;0;0;1881;0;0;0;7847;0;0;1212;21042;356
14;01;69425;35466;704;443;34319;517;0;2217;0;3316;0;9829;399;0;0;0;0;0;0;11026;0;0;1566;5449;0
14;02;66703;32811;671;463;31677;626;0;2479;0;2818;0;9344;334;0;0;0;0;0;0;8894;0;0;1163;6019;0
14;03;78600;38782;1041;763;36978;899;0;1836;0;2363;0;7701;307;0;0;0;0;0;0;10759;0;0;2126;10987;0
14;04;99216;50344;997;729;48618;726;0;2551;0;2882;0;9743;313;0;0;0;0;0;0;17120;0;0;2695;12588;0
14;05;88396;46089;1136;755;44198;659;0;2148;0;3147;0;10229;463;0;0;0;0;0;0;13747;0;0;2900;10905;0
14;06;91706;47184;1505;993;44686;930;0;2181;0;3245;0;10726;607;0;0;0;0;0;0;12648;0;0;2773;11576;0
15;01;62936;31922;1131;754;30037;446;1776;0;1301;0;0;7730;0;0;0;0;0;0;0;11870;0;509;1279;5126;0
15;02;55142;27660;837;905;25918;342;1319;0;869;0;0;4824;0;0;0;0;0;0;0;12941;0;295;731;4597;0
16;01;84506;39991;973;726;38292;541;0;1900;0;2765;0;11402;485;575;0;0;0;0;0;10771;0;0;1436;8417;0
16;02;84103;40097;1051;968;38078;666;0;1330;0;2307;0;9268;311;624;0;0;0;0;0;11592;0;0;1909;10071;0
16;03;91733;46624;1626;1652;43346;785;0;2745;0;2721;0;11291;348;636;0;0;0;0;0;11089;0;0;2112;11619;0
17;01;100758;48240;894;718;46628;593;0;2113;0;3746;0;13712;677;731;0;0;0;0;0;14118;0;0;2116;8822;0
17;02;101158;49175;1133;827;47215;754;0;1830;0;3321;0;12187;598;1087;0;0;0;0;0;13228;0;0;2211;11999;0
17;03;81737;39790;1135;912;37743;601;0;1539;0;2236;0;9783;463;724;0;0;0;0;0;10104;0;0;2034;10259;0
17;04;88808;44986;1216;1056;42714;697;0;1219;0;2011;0;9423;367;742;0;0;0;0;0;12511;0;0;2359;13385;0
17;05;108790;54585;1192;987;52406;665;0;1521;0;2851;0;10818;552;1016;0;0;0;0;0;15219;0;0;2819;16945;0
18;01;72783;35232;1338;552;33342;654;2076;0;0;1994;0;7587;0;0;0;0;0;0;0;8775;0;0;2264;9992;0
18;02;70299;32702;1041;636;31025;687;5155;0;0;1595;0;5938;0;0;0;0;0;0;0;6001;0;0;1781;9868;0
18;03;86488;42323;1511;900;39912;749;2700;0;0;2278;0;9251;0;0;0;0;0;0;0;8923;0;0;2691;13320;0
19;01;93484;52841;2064;1996;48781;772;0;4640;0;2067;0;14377;536;813;0;0;0;0;0;13907;0;0;2280;9389;0
19;02;92684;48423;1548;1668;45207;676;0;2557;0;2136;0;12823;375;673;0;0;0;0;0;13829;0;0;2171;9967;0
21;01;66475;36254;579;361;35314;359;0;1437;0;1652;0;9253;0;0;0;825;0;1373;0;11242;0;0;1806;7367;0
21;02;66488;34363;713;403;33247;421;0;1311;0;1334;0;7798;0;0;0;732;0;1091;0;9761;0;0;1663;9136;0
21;03;69305;35025;690;451;33884;478;0;1691;0;1307;0;8836;0;0;0;711;0;961;0;8283;0;0;1683;9934;0
21;04;69202;38274;928;667;36679;519;0;1541;0;1099;0;6567;0;0;0;735;0;882;0;13067;0;0;1732;10537;0
21;05;83845;43043;953;682;41408;535;0;1421;0;1315;0;7726;0;0;0;858;0;1106;0;13153;0;0;2248;13046;0
22;01;89101;47526;1132;735;45659;1047;0;2339;0;3167;0;16574;0;0;0;0;2426;0;0;11036;0;0;1338;7732;0
22;02;95063;52502;1235;1327;49940;1004;0;1712;0;3031;0;16751;0;0;0;0;2444;0;0;13034;0;0;1875;10089;0
22;03;86935;49834;820;886;48128;776;0;1149;0;2412;0;13780;0;0;0;0;1860;0;0;20270;0;0;763;7118;0
22;04;79063;43506;888;873;41745;1183;0;2136;0;2563;0;13733;0;0;0;0;6166;0;0;7831;0;0;959;7174;0
22;05;103815;56160;1054;1003;54103;1168;0;2392;0;4042;0;19223;0;0;0;0;4176;0;0;11383;0;0;1882;9837;0
23;01;94745;47098;2170;1752;43176;840;0;3368;0;2102;0;11780;475;756;0;0;0;0;0;11750;0;0;2217;9888;0
24;01;74971;40395;1169;1076;38150;539;0;2659;0;1851;0;12597;446;598;0;0;0;0;0;8850;0;0;1632;8978;0
24;02;82022;43758;1095;1067;41596;512;0;1958;0;2138;0;12571;357;738;0;0;0;0;0;9585;0;0;1705;12032;0
24;03;68001;39824;1428;1467;36929;567;0;2169;0;1601;0;11817;340;637;0;0;0;0;0;9063;0;0;1937;8798;0
24;04;87168;48450;1435;1377;45638;600;0;2758;0;2382;0;15169;438;1018;0;0;0;0;0;10723;0;0;2133;10417;0
25;01;73979;38101;930;519;36652;483;0;1713;0;1733;0;10952;0;0;0;835;0;1228;0;7563;0;0;1744;10401;0
25;02;78056;41573;954;581;40038;500;0;1938;0;2012;0;11996;0;0;0;877;0;1424;0;8800;0;0;2044;10447;0
25;03;65922;34018;1060;576;32382;520;0;837;0;930;0;7662;0;0;0;636;0;1023;0;7103;0;0;1788;11883;0
25;04;67116;33813;777;539;32497;582;0;967;0;867;0;8728;0;0;0;546;0;810;0;5020;0;0;1674;13303;0
25;05;79889;41120;1206;810;39104;429;0;849;0;1659;0;7799;0;0;0;912;0;1153;0;12669;0;0;2316;11318;0
26;01;74467;35960;729;470;34761;441;1511;0;2580;0;0;8946;0;0;0;0;0;0;0;11079;0;446;1219;8539;0
26;02;91409;45032;1102;612;43318;581;2313;0;2326;0;0;9160;0;0;0;0;0;0;0;11715;0;474;1805;14944;0
26;03;104781;58133;1596;669;55868;718;2851;0;6391;0;0;13847;0;0;0;0;0;0;0;14559;0;515;2185;14802;0
26;04;92632;46214;1175;564;44475;605;2001;0;3149;0;0;10654;0;0;0;0;0;0;0;11931;0;453;1888;13794;0
27;01;85281;40784;871;485;39428;666;0;2033;0;2224;0;7265;259;0;0;0;0;0;0;10887;0;0;2095;13999;0
27;02;78060;40119;966;527;38626;681;0;2144;0;2116;0;8130;218;0;0;0;0;0;0;10885;0;0;1821;12631;0
27;03;83678;44071;1012;563;42496;632;0;2113;0;1862;0;8235;211;0;0;0;0;0;0;14505;0;0;1649;13289;0
27;04;88864;45080;1057;502;43521;742;0;2922;0;2389;0;10500;255;0;0;0;0;0;0;10518;0;0;1893;14302;0
27;05;88661;43603;901;570;42132;630;0;2447;0;2255;0;7697;300;0;0;0;0;0;0;11698;0;0;2082;15023;0
28;01;88484;42467;1015;604;40848;643;1406;0;0;2985;0;9581;0;0;0;0;0;0;0;11829;0;0;2835;11569;0
28;02;73352;31817;787;437;30593;650;989;0;0;2232;0;5515;0;0;0;0;0;0;0;8016;0;0;2065;11126;0
28;03;71215;34451;840;556;33055;650;986;0;0;1713;0;7799;0;0;0;0;0;0;0;9025;0;0;1787;11095;0
28;04;67157;35910;695;673;34542;451;756;0;0;1208;0;5304;0;0;0;0;0;0;0;14895;0;0;1214;10714;0
29;01;87636;46373;909;605;44859;833;0;1644;0;2752;0;15977;0;0;0;0;4785;0;0;10434;0;0;1589;6845;0
29;02;77871;35983;1388;54;34541;866;0;1450;0;2147;0;13703;0;0;0;0;2588;0;0;7130;0;0;1260;5397;0
